id	taxonID	acceptedNameUsageID	parentNameUsageID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	vernacularName
23463.0	23463.0	23463.0	7789.0	Pterocarpus rohrii	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae/Pap.	Pterocarpus		rohrii		species	Sangrillo, sangregado
19912.0	19912.0	19912.0	6923.0	Guatteria diospyroides	Plantae	Magnoliophyta	Magnoliopsida	Magnoliales	Annonaceae	Guatteria		diospyroides		species	
21392.0	21392.0	21392.0	7315.0	Tillandsia leiboldiana	Plantae	Magnoliophyta	Liliopsida	Bromeliales	Bromeliaceae	Tillandsia		leiboldiana		species	Piñuela, parasita, epífita, bromelia.
51461.0	51461.0	51461.0	51459.0	Uroderma magnirostrum	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Uroderma		magnirostrum		species	Murciélago
23683.0	23683.0	23683.0	7858.0	Besleria solanoides	Plantae	Magnoliophyta	Magnoliopsida	Scrophulariales	Gesneriaceae	Besleria		solanoides		species	
52110.0	52110.0	52110.0	51802.0	Anas platyrhynchos	Animalia	Chordata	Aves	Anseriformes	Anatidae	Anas		platyrhynchos		species	Carraco, pato cabeciverde
16700.0	16700.0	16700.0	5628.0	Cotinis olivia	Animalia	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Cotinis		olivia		species	Escarabajo de las frutas.
21310.0	21310.0	21310.0	7308.0	Guzmania condensata	Plantae	Magnoliophyta	Liliopsida	Bromeliales	Bromeliaceae	Guzmania		condensata		species	Piñuela.
22993.0	22993.0	22993.0	7698.0	Acacia riparia	Plantae	Magnoliophyta	Magnoliopsida	Fabales	Fabaceae/Mim.	Acacia		riparia		species	
28514.0	28514.0	28514.0	8966.0	Paullinia pterocarpa	Plantae	Magnoliophyta	Magnoliopsida	Sapindales	Sapindaceae	Paullinia		pterocarpa		species	
25416.0	25416.0	25416.0	9208.0	Ficus crassiuscula	Plantae	Magnoliophyta	Magnoliopsida	Urticales	Moraceae	Ficus		crassiuscula		species	Higuerón, chilamate.
